pid,parameter,optimal_x
6,[1.0657723085529638],[-0.9904614979817831]
6,[1.0510018615447827],[-0.9925684799856797]
6,[0.9337337970364664],[-1.010037298513296]
6,[0.9582075570213375],[-1.0062781266243093]
6,[1.0333887351182742],[-0.9951071704811292]
6,[0.9693824177582362],[-1.0045822333692707]
6,[1.0396331643859753],[-0.9942038265278494]
6,[1.052776753201283],[-0.9923142427295831]
6,[0.9164362872808932],[-1.0127323341179875]
6,[0.9598834276980489],[-1.0060229840793702]
6,[1.0604247175184722],[-0.9912220332334544]
6,[0.9392898464287575],[-1.0091783941906174]
6,[0.9762253201794132],[-1.0035500108224653]
6,[1.0822149685033857],[-0.9881391102068443]
6,[0.9248854955009688],[-1.0114119052231958]
6,[0.9314182830332073],[-1.0103962151301535]
6,[0.9079370288400106],[-1.0140683793720369]
6,[1.0267496663851918],[-0.9960716130142853]
6,[0.9236597531701778],[-1.011602986381714]
6,[0.9647317208530117],[-1.005286475233669]
6,[0.9294493197086302],[-1.0107018624107602]
6,[1.0501214892346624],[-0.9926946926300244]
6,[1.0579104905056473],[-0.9915805030906184]
6,[0.9374351860921307],[-1.009464742358634]
6,[0.9283386664729367],[-1.0108744539683856]
6,[0.9569805557400776],[-1.006465113980317]
6,[0.969295371032544],[-1.0045953944547343]
6,[0.9428134063368627],[-1.0086353736540103]
6,[1.078979768802423],[-0.9885941499563374]
6,[0.9258877259567599],[-1.0112557869079133]
6,[0.978999681213329],[-1.0031328522460963]
6,[1.083738354276728],[-0.9879251627647553]
6,[0.9356471990133957],[-1.0097411397445777]
6,[0.9892551378453042],[-1.0015974870161608]
6,[0.9080294186889857],[-1.0140538137726804]
6,[0.9792325732856864],[-1.0030978692013885]
6,[1.0395710348676783],[-0.9942127965216089]
6,[0.9771047736099554],[-1.0034176908654524]
6,[0.9289210352613997],[-1.0107839395469078]
6,[0.9146332150477634],[-1.013015112814663]
6,[0.9116673077568616],[-1.013481028261183]
6,[0.9702634274470417],[-1.0044490717150052]
6,[1.0356523367164854],[-0.9947792880778125]
6,[0.9045571950183999],[-1.0146018654228728]
6,[0.9668782441412216],[-1.004961160314613]
6,[1.0721827799515637],[-0.9895531978002783]
6,[0.9026319053180446],[-1.0149063213662821]
6,[0.9341838920873393],[-1.0099675974038207]
6,[0.9865708287229429],[-1.0019983508074375]
6,[1.0892855235660486],[-0.987147836544273]
6,[1.0375624139031836],[-0.9945029862282322]
6,[0.9298040325878124],[-1.0106467689657221]
6,[1.06815767467998],[-0.9901230837220679]
6,[1.0393680352394947],[-0.9942421072420469]
6,[1.0437202305467765],[-0.9936145408849163]
6,[0.9362258417917592],[-1.0096516528789683]
6,[1.048480937464234],[-0.992930076772918]
6,[0.9420721228964066],[-1.0087495057061089]
6,[0.9714277434614861],[-1.0042732096970148]
6,[0.9267051400645665],[-1.011128537124355]
6,[1.0708888323189516],[-0.9897362400829898]
6,[1.064184478730558],[-0.9906870494174089]
6,[0.9144805854407135],[-1.0130390661367037]
6,[1.0433935416591167],[-0.993661586923907]
6,[1.017197833041588],[-0.9974664988432655]
6,[1.0895485974999473],[-0.9871110391463115]
6,[0.9386815655064269],[-1.0092722691352338]
6,[0.9590978712416568],[-1.006142545072666]
6,[0.9142349633171074],[-1.0130776187860722]
6,[1.0598442777656325],[-0.991304739338158]
6,[0.9259175255256875],[-1.0112511466478629]
6,[0.931823047213391],[-1.0103334335803842]
6,[0.9484974870746037],[-1.0077621289662073]
6,[0.9729449309551994],[-1.0040442542896975]
6,[1.048210772709147],[-0.9929688633916771]
6,[1.0119474174615148],[-0.9982369407648184]
6,[1.03595461721251],[-0.9947355390593117]
6,[0.9679775194803338],[-1.0047947416686025]
6,[1.0725988864902596],[-0.989494367088475]
6,[0.9117934909749079],[-1.013461186612803]
6,[1.0678098890912124],[-0.9901723925032718]
6,[1.0641600131110613],[-0.9906905265431475]
6,[1.084283893883868],[-0.9878485959275423]
6,[0.9096861787306256],[-1.013792777849892]
6,[0.9157676736156144],[-1.012837152781197]
6,[1.013670189431253],[-0.9979838511922675]
6,[0.925177102370542],[-1.01136647027911]
6,[0.9741266290479353],[-1.0038660876459746]
6,[1.0280010996577726],[-0.9958895026978022]
6,[0.9726834351998487],[-1.0040836994701023]
6,[1.0657264453964561],[-0.9904680096576656]
6,[0.9502559650278015],[-1.0074926553966816]
6,[0.9194861975597627],[-1.012254812267748]
6,[0.979023556517836],[-1.00312926565345]
6,[0.9206755461494385],[-1.012068868945161]
6,[1.0431802222063664],[-0.9936923121126419]
6,[0.9722684765467091],[-1.0041463078313762]
6,[0.9430788288803761],[-1.0085945217346657]
6,[0.9621095254502028],[-1.0056845172560713]
6,[1.0407898080583708],[-0.9940369008042509]
6,[0.9576613987563061],[-1.0063613386390065]
6,[1.0161058881374287],[-0.9976265125200608]
6,[0.9066757262226811],[-1.0142673218071683]
6,[1.0642883403324102],[-0.9906722889035573]
6,[0.9591821215752735],[-1.0061297192179266]
6,[1.0327667162322705],[-0.9951973538854061]
6,[0.9727564045006253],[-1.0040726917632616]
6,[0.9123061734298417],[-1.0133805878139213]
6,[0.9806704774552903],[-1.0028819997212222]
6,[1.0349882307810316],[-0.9948754340419836]
6,[1.0843286635167382],[-0.9878423136473465]
6,[0.9217309551272991],[-1.011903993313744]
6,[1.022638611784575],[-0.9966709017764447]
6,[1.023871170619899],[-0.9964910575494863]
6,[1.023469066275027],[-0.9965497132701644]
6,[0.9227401883561216],[-1.011746443234362]
6,[0.9462685878839789],[-1.0081041529868948]
6,[0.9352139523643646],[-1.009808164308798]
6,[1.0757430780467008],[-0.9890503297668547]
6,[1.061956101632207],[-0.9910039750229738]
6,[0.9050561395212374],[-1.0145230312566336]
6,[0.9419142895770857],[-1.008773814019056]
6,[1.0942347696704466],[-0.9864565778608028]
6,[0.9594628058177886],[-1.0060869944869337]
6,[0.9254221230434099],[-1.0113283009149079]
6,[0.9746922254350847],[-1.0037808614715422]
6,[0.9274786055422494],[-1.0110081947006082]
6,[1.0228660755196008],[-0.9966377014092821]
6,[1.0404669276087042],[-0.9940834860952298]
6,[0.944944629488019],[-1.0083075590912474]
6,[0.9836678406961848],[-1.0024326754159696]
6,[1.02161739142683],[-0.9968200185647279]
6,[0.9889123710441401],[-1.001648634705042]
6,[0.9430256086882277],[-1.0086027124110226]
6,[0.985782805093199],[-1.0021161665979499]
6,[0.9238101364478988],[-1.0115795344444147]
6,[1.0532170027410257],[-0.992251225627069]
6,[0.9170387078930947],[-1.0126379339814824]
6,[1.0982968683944532],[-0.9858908244823268]
6,[1.0377357376651632],[-0.9944779309603934]
6,[0.9390078016483814],[-1.0092219168359826]
6,[1.0601362807107528],[-0.9912631283949263]
6,[1.06805352118463],[-0.9901378493854426]
6,[1.0321475092187244],[-0.9952871656494662]
6,[0.9894096199841648],[-1.0015744389754382]
6,[0.9812396642097501],[-1.002796605997798]
6,[0.9579543990338094],[-1.0063166936606383]
6,[1.0452518601345828],[-0.9933941045908024]
6,[0.948884594016547],[-1.007702780166546]
6,[1.079921997607216],[-0.9884615270802299]
6,[1.0309942876996223],[-0.9954545285198991]
6,[0.9363939342788007],[-1.0096256640704473]
6,[1.0345544646264844],[-0.9949382548242567]
6,[1.0825831306615294],[-0.9880873859487315]
6,[0.9863501036756936],[-1.0020313447444247]
6,[1.0880757913281838],[-0.9873171257470313]
6,[0.9550180382330623],[-1.0067645113776542]
6,[1.099598530459726],[-0.9857098375985108]
6,[0.9011433983195598],[-1.0152239267601604]
6,[1.0321101215742923],[-0.9952925896245781]
6,[1.0993644972355319],[-0.9857423674168974]
6,[1.067044248669085],[-0.9902809827935949]
6,[1.0360550020000365],[-0.9947210122699044]
6,[0.9398151125977443],[-1.0090973620698536]
6,[0.9378171602745126],[-1.009405738278543]
6,[1.0766626299366617],[-0.9889206331133674]
6,[0.9189375264930242],[-1.0123406431468132]
6,[0.9493072866815236],[-1.0076379933661541]
6,[1.0911480270715281],[-0.9868874499804685]
6,[0.9334385341633975],[-1.0100830341707752]
6,[0.9665392012777473],[-1.005012512574536]
6,[0.9398439807240903],[-1.0090929094625125]
6,[0.984806213216388],[-1.0022622603638018]
6,[1.0317899321127106],[-0.995339046163828]
6,[0.9580164383482563],[-1.0063072417501937]
6,[1.0774101944076213],[-0.9888152496402709]
6,[1.0434145135896031],[-0.9936585664868238]
6,[1.0869998386928703],[-0.9874678019874522]
6,[0.9153908970751153],[-1.0128962414229186]
6,[0.9334941838040813],[-1.010074413441247]
6,[0.9319628584061921],[-1.0103117519981129]
6,[0.9391625505310883],[-1.0091980363272026]
6,[0.9637238824207272],[-1.0054393793437457]
6,[1.0428575165323344],[-0.9937388006147094]
6,[1.0837234527073918],[-0.9879272545784608]
6,[0.9544420281720771],[-1.0068524615428098]
6,[0.9165903654909745],[-1.0127081861144474]
6,[1.0443361135084364],[-0.993525875252214]
6,[0.9241948704657388],[-1.011519547065818]
6,[0.937998781948117],[-1.0093776883187557]
6,[1.0358827440495078],[-0.9947459404795382]
6,[0.9675208501044892],[-1.0048638616820331]
6,[0.9573248416739781],[-1.0064126313314385]
6,[1.0247236469248469],[-0.9963667558955549]
6,[1.0135130774301262],[-0.9980069204458959]
6,[0.9642440400411771],[-1.0053604507543592]
6,[0.9477121569823511],[-1.0078825786866945]
6,[0.934848778176049],[-1.0098646732628238]
6,[1.0756685411101332],[-0.9890608460061499]
6,[0.9787962077504849],[-1.003163420723026]
6,[0.9307641470825563],[-1.0104977126369141]
6,[1.0480457250979447],[-0.9929925620129226]
6,[1.0892941665251163],[-0.9871466275161273]
6,[0.976749620782602],[-1.0034711167634756]
6,[1.0861001580582372],[-0.9875938713306065]
6,[1.0946900065873872],[-0.9863931026989315]
6,[0.9533836608669916],[-1.0070141513967443]
6,[0.9665465907688249],[-1.0050113932196643]
6,[0.988032713703419],[-1.0017799504122338]
6,[1.0832255085049036],[-0.9879971649749489]
6,[1.0681656192082645],[-0.9901219574798997]
6,[1.0609319365524295],[-0.9911497852919054]
6,[1.0705802430634663],[-0.9897799153888903]
6,[0.9147271698480299],[-1.013000369031633]
6,[1.0232996201048006],[-0.9965744352947]
6,[1.0245625962991223],[-0.9963902338070209]
6,[1.0286185630803786],[-0.9957997029914514]
6,[1.0111076971002053],[-0.9983604060983222]
6,[1.0256941240367778],[-0.9962253320073429]
6,[1.059838197824816],[-0.9913056058229229]
6,[0.9412508461476196],[-1.0088760211915855]
6,[1.0204283713198885],[-0.9969937620647285]
6,[0.9539899610411963],[-1.006921511007806]
6,[1.0693001826199526],[-0.9899611763539697]
6,[0.9643424567632491],[-1.0053455201278458]
6,[0.9490253451748688],[-1.007681204944224]
6,[0.978704528368908],[-1.0031771953675581]
6,[1.0988099745791435],[-0.9858194631426126]
6,[0.9132651465302416],[-1.0132299044221447]
6,[0.9536326665092519],[-1.00697609967659]
6,[1.0694767294931598],[-0.9899361679634124]
6,[1.0924013257391585],[-0.98671240410817]
6,[1.056572392752425],[-0.9917715190032538]
6,[1.0348542926990523],[-0.9948948299311335]
6,[1.0679671837409208],[-0.9901500900373408]
6,[1.0262286390213442],[-0.996147477246202]
6,[1.0812359676348227],[-0.988276711483689]
6,[0.907436523282511],[-1.014147302147846]
6,[0.917048719447592],[-1.0126363654887465]
6,[1.0715501946431412],[-0.9896426647960326]
6,[0.941103211181785],[-1.0088987714618882]
6,[1.0921004864967259],[-0.9867544092229151]
